Rk.,Team,Venue,Year,Park Factor,wOBACon,xwOBACon,BACON,xBACON,HardHit,R,OBP,H,1B,2B,3B,HR,BB,SO,PA
1,Rockies,Coors Field,2025,115,115,102,115,103,100,132,113,120,118,126,200,110,99,89,"17,969"
2,Athletics,Sutter Health Park,2025,108,108,98,107,100,96,117,107,107,101,122,82,112,107,97,"18,074"
3,Tigers,Comerica Park,2025,105,105,102,103,101,100,110,103,104,101,101,161,114,102,99,"18,224"
4,Dodgers,Dodger Stadium,2025,104,105,104,100,103,103,108,101,99,92,98,79,137,107,102,"19,673"
5,Blue Jays,Rogers Centre,2025,103,102,102,100,101,103,106,101,102,100,100,69,118,101,94,"19,623"
6,Red Sox,Fenway Park,2025,103,101,99,104,100,101,106,105,105,107,114,94,84,101,93,"18,089"
7,Orioles,Oriole Park at Camden Yards,2025,103,105,103,103,102,104,106,100,103,99,103,106,121,93,102,"17,724"
8,D-backs,Chase Field,2025,102,100,100,100,101,101,104,102,102,98,113,218,90,100,92,"17,997"
9,Rays,Tropicana Field,2025,102,103,100,103,102,102,104,102,104,109,85,59,112,96,101,"17,419"
10,Phillies,Citizens Bank Park,2025,102,106,99,105,99,101,104,100,104,102,99,109,117,92,107,"17,945"
11,Nationals,Nationals Park,2025,101,101,103,102,103,106,102,101,104,108,98,125,93,93,96,"17,677"
12,Angels,Angel Stadium,2025,101,104,100,102,99,101,102,101,99,99,93,96,111,99,106,"17,454"
13,Twins,Target Field,2025,101,101,99,103,100,100,102,103,103,106,112,67,87,96,98,"18,161"
14,Braves,Truist Park,2025,101,102,101,102,102,101,102,101,101,103,94,83,105,100,104,"17,893"
15,Yankees,Yankee Stadium,2025,99,97,101,95,98,103,98,99,92,90,86,91,111,115,101,"18,604"
16,Giants,Oracle Park,2025,99,98,98,101,98,94,98,100,103,107,102,111,84,96,97,"17,728"
17,Reds,Great American Ball Park,2025,99,100,98,98,98,92,98,98,97,95,99,64,111,103,104,"17,251"
18,Mets,Citi Field,2025,99,99,102,99,101,103,98,100,99,102,89,81,101,101,100,"17,636"
19,Brewers,American Family Field,2025,98,99,96,99,97,93,96,99,95,95,94,90,98,107,106,"18,501"
20,Cubs,Wrigley Field,2025,98,99,102,97,101,104,96,97,96,94,89,132,111,98,103,"17,905"
21,White Sox,Rate Field,2025,98,96,100,96,99,101,96,99,96,98,91,65,96,106,96,"17,412"
22,Marlins,loanDepot park,2025,97,95,99,96,100,99,94,98,98,99,101,148,84,97,96,"17,587"
23,Cardinals,Busch Stadium,2025,97,94,98,97,99,102,94,98,103,108,109,56,77,90,90,"17,317"
24,Royals,Kauffman Stadium,2025,97,95,100,96,100,102,94,98,100,99,106,212,83,98,91,"17,294"
25,Astros,Daikin Park,2025,97,100,97,99,98,98,94,97,97,97,92,80,106,100,110,"17,268"
26,Pirates,PNC Park,2025,96,96,99,99,101,101,92,99,100,101,117,108,66,95,100,"17,496"
27,Padres,Petco Park,2025,95,94,98,95,97,97,90,97,92,96,82,83,91,110,104,"17,309"
28,Guardians,Progressive Field,2025,95,96,99,97,99,95,90,97,95,98,91,63,88,103,106,"17,384"
29,Mariners,T-Mobile Park,2025,91,94,100,93,100,99,83,91,89,87,95,31,98,95,113,"18,923"
30,Rangers,Globe Life Field,2025,91,90,99,92,98,100,83,93,92,94,98,53,80,98,102,"17,232"
